ari,nmi,purity,init,seed
0.3753059161003659,0.6339606582969863,0.6352848101265823,random,67
0.42478425698239064,0.6658592926404246,0.7096518987341772,random,68
0.45738483792027435,0.6682549058014511,0.7143987341772152,random,69
0.44524050472427945,0.6783910706044239,0.7033227848101266,random,70
0.4247329367733803,0.6663851169348355,0.7017405063291139,random,71
0.39306950466693524,0.6241018828284572,0.6360759493670886,random,72
0.4171499678666075,0.6620063816326354,0.7088607594936709,random,73
0.4054655569834838,0.642305446017348,0.680379746835443,random,74
0.4002725657279984,0.6496025932610137,0.6882911392405063,random,75
0.4240339411362971,0.6591744166074939,0.694620253164557,random,76
0.4131897497550595,0.6609271909854811,0.696993670886076,random,77
0.428796625502081,0.6814750853178541,0.7231012658227848,random,78
0.4688253737423892,0.6826643143191095,0.7151898734177216,random,79
0.4248536443919884,0.6536349746535386,0.6756329113924051,random,80
0.38998829128557994,0.6688982724556866,0.694620253164557,random,81
0.35858703040402284,0.6414256082762378,0.6526898734177216,random,82
0.4497146376658848,0.6634970519670033,0.6962025316455697,random,83
0.3879380255780277,0.6451273167427319,0.685126582278481,random,84
0.4407888673998184,0.6726363257010302,0.696993670886076,random,85
0.3827195600559903,0.637573359951685,0.6455696202531646,random,86
0.39028620264556535,0.6548383913195841,0.6708860759493671,random,87
0.4504401155295083,0.6821913220469994,0.7049050632911392,random,88
0.43025915057893266,0.6788516287343418,0.7128164556962026,random,89
0.4971946233607292,0.6834504641520505,0.7199367088607594,random,90
0.4607793933062416,0.6826116104380661,0.7246835443037974,random,91
0.4755936020941575,0.6390562775747078,0.6424050632911392,random,92
0.42739845683089456,0.6610054233046214,0.6748417721518988,random,93
0.43170312103403785,0.6610822381439717,0.6795886075949367,random,94
0.3911951752765821,0.6485512994584268,0.6629746835443038,random,95
0.37342502303408137,0.6369781768304447,0.6550632911392406,random,96
0.39580794261129076,0.640717941668,0.6756329113924051,random,97
0.4508978111698119,0.6744912823817906,0.6819620253164557,random,98
0.45257224514606414,0.6601890002148,0.6867088607594937,random,99
0.5071568211110182,0.6853417962208193,0.7223101265822784,stratified,0
0.4438587073092084,0.6682439571750803,0.6882911392405063,stratified,1
0.4137153223730784,0.6577840680538349,0.692246835443038,stratified,2
0.4800074013004133,0.6846254624780724,0.7238924050632911,stratified,3
0.5112013276977182,0.7183856608154149,0.742879746835443,stratified,4
0.45621716131718515,0.6803883233636696,0.7128164556962026,stratified,5
0.46527630494332267,0.6970310963653581,0.7112341772151899,stratified,6
0.46208761483484134,0.6862545945358729,0.7294303797468354,stratified,7
0.540830085206589,0.7157207281627165,0.7365506329113924,stratified,8
0.4644952946329564,0.6810601955546141,0.7064873417721519,stratified,9
0.4938975882653392,0.7120806618658423,0.742879746835443,stratified,10
0.4791700935558552,0.6998177333055992,0.7373417721518988,stratified,11
0.5086576114523192,0.7016347223536579,0.7318037974683544,stratified,12
0.47143529475371054,0.6719119332792249,0.7017405063291139,stratified,13
0.4518907216664746,0.6627605238042044,0.6819620253164557,stratified,14
0.4340895812615128,0.6535297003726672,0.696993670886076,stratified,15
0.4723836164087398,0.6986534132502471,0.7183544303797469,stratified,16
0.49749303376291965,0.6897363911702904,0.7238924050632911,stratified,17
0.48685445174334874,0.6771246358953857,0.7033227848101266,stratified,18
0.46409946571696065,0.6949278674911082,0.7341772151898734,stratified,19
0.4304054123143859,0.6546128308821964,0.6962025316455697,stratified,20
0.45821116134732154,0.6937333161697745,0.7215189873417721,stratified,21
0.44195787845894624,0.6706807570784121,0.6906645569620253,stratified,22
0.49651706804201673,0.7011501453705274,0.742879746835443,stratified,23
0.45462132094233426,0.7013050287699346,0.7207278481012658,stratified,24
0.503643645997891,0.7020177507556848,0.7531645569620253,stratified,25
